Company,Role,URL,Platform,Location
Jump Trading,Quantitative Developer | Trading Team,https://www.jumptrading.com/hr/job?gh_jid=7767735,Greenhouse,New York City or Chicago 
Jump Trading,Trader | Global Centralized Trading Desk,https://www.jumptrading.com/hr/job?gh_jid=7572460,Greenhouse,"Chicago, IL"
DRW,Algorithmic Trader,https://job-boards.greenhouse.io/drweng/jobs/7921564,Greenhouse,Chicago 
DRW,"Head of Engineering, Algorithmic Trading Group",https://job-boards.greenhouse.io/drweng/jobs/7834103,Greenhouse,Chicago
DRW,"Head of Trading Operations, Algorithmic Trading Group",https://job-boards.greenhouse.io/drweng/jobs/7720971,Greenhouse,Chicago
DRW,Prediction Markets Trader,https://job-boards.greenhouse.io/drweng/jobs/7520816,Greenhouse,Flexible - US Preferred
DRW,Quantitative Developer - Mid-Frequency Equities,https://job-boards.greenhouse.io/drweng/jobs/7821830,Greenhouse,"Chicago, New York"
DRW,Quantitative Trader - Futures,https://job-boards.greenhouse.io/drweng/jobs/7730933,Greenhouse,Chicago
DRW,Senior UX Designer (Algorithmic Trading),https://job-boards.greenhouse.io/drweng/jobs/6872430,Greenhouse,Chicago
DRW,Site Reliability Engineer - Algorithmic Trading,https://job-boards.greenhouse.io/drweng/jobs/7921972,Greenhouse,Chicago
Optiver,Algorithmic Trading C++ Engineer - Equities,https://www.optiver.com/join-us/jobs/8373449002/?gh_jid=8373449002,Greenhouse,"Sydney, Australia"
Optiver,Expressions of Interest - Graduate Quantitative Researcher 2027,https://www.optiver.com/join-us/jobs/8450287002/?gh_jid=8450287002,Greenhouse,"Sydney, Australia"
Optiver,Expressions of Interest - Graduate Quantitative Trader 2027,https://www.optiver.com/join-us/jobs/8450282002/?gh_jid=8450282002,Greenhouse,"Sydney, Australia"
Optiver,Fixed Income ETF Trader,https://www.optiver.com/join-us/jobs/8057300002/?gh_jid=8057300002,Greenhouse,"Sydney, Australia"
Optiver,Institutional Trader,https://www.optiver.com/join-us/jobs/8120686002/?gh_jid=8120686002,Greenhouse,"Chicago, Illinois, United States"
Optiver,Positional Options Trader,https://www.optiver.com/join-us/jobs/5823852002/?gh_jid=5823852002,Greenhouse,"Sydney, Australia"
Optiver,Quantitative Hardware Researcher,https://www.optiver.com/join-us/jobs/8451543002/?gh_jid=8451543002,Greenhouse,"Austin, Texas, United States"
